CURATED-COFs ID,Source,Name,Elements,Duplicate found,Modifications
05000N2,"tong-v2, 035",COF-1,"H,B,C,O",none,none
05001N2,"tong-v2, 053",COF-5,"H,B,C,O",none,replicated 2x in C direction
07000N2,"tong-v2, 036",COF-10,"H,B,C,O",none,replicated 2x in C direction
07001N2,"tong-v2, 055",COF-6,"H,B,C,O",none,replicated 2x in C direction
07002N2,"tong-v2, 057",COF-8,"H,B,C,O",none,replicated 2x in C direction
07010N3,"tong-v2, 037",COF-102,"H,B,C,O",none,none
07011N3,"tong-v2, 038",COF-103,"H,B,C,O,Si",none,none
07012N3,"tong-v2, 039",COF-105,"H,B,C,O,Si",none,none
07013N3,"tong-v2, 040",COF-108,"H,B,C,O",none,none
08000N3,"tong-v2, 045",COF-202,"H,B,C,O,Si",none,none
08010N2,"tong-v2, 041",COF-11Å,"H,B,C,O",none,replicated 2x in C direction
08011N2,"tong-v2, 042",COF-14Å,"H,B,C,O",none,"aligned to xy plan, replicated 2x in C direction"
08012N2,"tong-v2, 043",COF-16Å,"H,B,C,O",none,"aligned to xy plan, replicated 2x in C direction"
08013N2,"tong-v2, 044",COF-18Å,"H,B,C,O",none,replicated 2x in C direction
08020N2,"tong-v2, 073",CTF-1,"H,C,N",none,replicated 2x in C direction
08030N2,"tong-v2, 235",TP-COF,"H,B,C,O",none,replicated 2x in C direction
09000N3,"tong-v2, 046",COF-300,"H,C,N",none,none
09010N2,"tong-v2, 186",PPy-COF,"H,B,C,O",none,replicated 2x in C direction
10000N2,"tong-v2, 074",CTF-2-AA,"H,C,N",none,replicated 2x in C direction
10001N2,"tong-v2, 075",CTF-2-AB,"H,C,N",none,none
10010N2,"tong-v2, 169",Pc-PBBA-COF,"H,B,C,N,O",none,replicated 2x in C direction
10020N2,"tong-v2, 224",TBPB COF,"H,C",none,replicated 2x in C direction
11000N2,"tong-v2, 049",COF-42-bnn,"H,C,N,O",none,replicated 2x in C direction
11001N2,"tong-v2, 050",COF-42-gra,"H,C,N,O",none,none
11002N2,"tong-v2, 051",COF-43-bnn,"H,C,N,O",none,replicated 2x in C direction
11003N2,"tong-v2, 052",COF-43-gra,"H,C,N,O",none,none
11010N2,"tong-v2, 001",2D-NiPc-BTDA-COF,"H,B,C,N,O,S,Ni",none,"replicated 2x in C direction, DFT geo_opt to fix too long N-S bond"
11020N2,"tong-v2, 063",COF-LZU1,"H,C,N",none,replicated 2x in C direction
11030N2,"tong-v2, 048",COF-366,"H,C,N",none,aligned to xy plan
11031N2,"tong-v2, 056",COF-66,"H,B,C,N,O",none,"aligned to xy plan, replicated 2x in C direction"
11040N2,SI,HHTP-DPB,"H,B,C,O",none,"added hydrogens, replicated 2x in C direction"
12000N2,"tong-v2, 255",TpPa-1,"H,C,N,O",13051N,replicated 2x in C direction
12001N2,"tong-v2, 256",TpPa-2,"H,C,N,O",none,replicated 2x in C direction
12010N2,SI,H2P-COF,"H,B,C,N,O",none,replicated 2x in C direction
